Level,Salary
1,1798
2,2848
3,3998
4,5248
5,6598
6,8048
7,9598
8,11248
9,12998
10,14848
11,16798
12,18848
13,20998
14,23248
15,25598
16,28048
17,30598
18,33248
19,35998
20,38848
21,41798
22,44848
23,47998
24,51248
25,54598
26,58048
27,61598
28,65248
29,68998
30,72848
31,76798
32,80848
33,84998
34,89248
35,93598
36,98048
37,102598
38,107248
39,111998
40,116848
41,121798
42,126848
43,131998
44,137248
45,142598
46,148048
47,153598
48,159248
49,164998
50,170848
51,176798
52,182848
53,188998
54,195248
55,201598
56,208048
57,214598
58,221248
59,227998
60,234848
61,241798
62,248848
63,255998
64,263248
65,270598
66,278048
67,285598
68,293248
69,300998
70,308848
71,316798
72,324848
73,332998
74,341248
75,349598
76,358048
77,366598
78,375248
79,383998
80,392848
81,401798
82,410848
83,419998
84,429248
85,438598
86,448048
87,457598
88,467248
89,476998
90,486848
91,496798
92,506848
93,516998
94,527248
95,537598
96,548048
97,558598
98,569248
99,579998
100,590848
101,601798
102,612848
103,623998
104,635248
105,646598
106,658048
107,669598
108,681248
109,692998
110,704848
111,716798
112,728848
113,740998
114,753248
115,765598
116,778048
117,790598
118,803248
119,815998
120,828848
121,841798
122,854848
123,867998
124,881248
125,894598
126,908048
127,921598
128,935248
129,948998
130,962848
131,976798
132,990848
133,1004998
134,1019248
135,1033598
136,1048048
137,1062598
138,1077248
139,1091998
140,1106848
141,1121798
142,1136848
143,1151998
144,1167248
145,1182598
146,1198048
147,1213598
148,1229248
149,1244998
150,1260848
151,1276798
152,1292848
153,1308998
154,1325248
155,1341598
156,1358048
157,1374598
158,1391248
159,1407998
160,1424848
161,1441798
162,1458848
163,1475998
164,1493248
165,1510598
166,1528048
167,1545598
168,1563248
169,1580998
170,1598848
171,1616798
172,1634848
173,1652998
174,1671248
175,1689598
176,1708048
177,1726598
178,1745248
179,1763998
180,1782848
181,1801798
182,1820848
183,1839998
184,1859248
185,1878598
186,1898048
187,1917598
188,1937248
189,1956998
190,1976848
191,1996798
192,2016848
193,2036998
194,2057248
195,2077598
196,2098048
197,2118598
198,2139248
199,2159998
200,2180848
